"Id","Title","TotalWords","SummaryWords","InsightsWords","ChaptersWords"
"6c8e5031-1c55-4bdd-8c11-ae5338f374c7","The Giver of Stars","2145","318","648","1179"
"616d75f1-5e5a-446c-a355-969a55fd5eaf","After You","1715","219","464","1032"
"cbadb69c-3003-44c9-8144-21632f06a9ce","Still Me","1853","342","493","1018"
"a75a2a64-677b-48e6-be32-f425795cb2b0","Me Before You","1875","341","683","851"
"c9bfb0e6-0adf-4c0b-8cea-0946b7b3c620","The Rosie Result","1752","289","694","769"
"fa29ee66-91cc-4050-8e52-e56fd148c7af","The Rosie Effect","1720","293","675","752"
"34cea33b-8daf-46ed-b71d-282ca518f1a2","The Rosie Project","1604","285","541","778"
"779ce111-7597-468f-96df-b1ad73eeee1e","Eleanor Oliphant Is Completely Fine","1659","314","488","857"
"a87e52db-72c6-4f70-95a7-f825b8369681","Where the Crawdads Sing","1892","320","648","924"
"53037ee0-7f31-4820-a3f5-850c91b902b6","The Four Winds","2186","363","819","1004"
"c512cb07-67c6-4473-8964-4b92170e2aa4","The Great Alone","2107","326","607","1174"
"dad97269-97d7-44db-b34f-bb6884daee93","The Nightingale","1615","289","539","787"
"b46b0b2c-0a6b-4cfd-8ae1-74468177f5e5","All the Light We Cannot See","1982","356","685","941"
"03258865-4d25-43a8-b802-a9d4d1699523","The Book Thief","2453","334","826","1293"
"5c815617-67a0-40d8-a685-a7b01174df8e","And the Mountains Echoed","2013","324","628","1061"
"4c18b4f5-59e4-4aa8-92ea-0577429b2aa2","A Thousand Splendid Suns","1914","324","699","891"
"57d293e2-7dba-42ab-970b-3e62316548ac","The Kite Runner","1888","329","616","943"
"765a387a-5351-46a6-a3fe-3d7e7d90fd5a","Room","2001","321","818","862"
"a0901953-758b-4873-9054-855b7fd9f601","The Curious Incident of the Dog in the Night-Time","1920","372","681","867"
"52b4ce74-4a94-40f4-9084-0bddf3bb562e","The Art of Racing in the Rain","1837","283","570","984"
"65cc8c67-61a3-4877-81b8-2ff2ba822c62","Britt-Marie Was Here","1481","276","496","709"
"55b85f40-c678-44e5-9659-79b43ca4d5f8","Us Against You","1828","301","736","791"
"99319a9a-d658-4b3e-a9e5-bf3d8246d85a","Beartown","2167","229","803","1135"
"bbd0f66c-1caf-48b5-865d-5d884a93ab80","My Grandmother Asked Me to Tell You She's Sorry","1779","227","646","906"
