| Title | Language | Length (Words) | Status |
|-------|----------|----------------|--------|
| How to Win at the Sport of Business | en | 119 | ﯔ Still short |
| How to Win at the Sport of Business | de | 119 | ﯔ Still short |
| The Bogleheads' Guide to Investing | en | 113 | ﯔ Still short |
| The Bogleheads' Guide to Investing | de | 113 | ﯔ Still short |
| The Man Who Mistook His Wife for a Hat | en | 121 | ﯔ Still short |
| The Man Who Mistook His Wife for a Hat | de | 121 | ﯔ Still short |
| True Refuge | en | 107 | ﯔ Still short |
| True Refuge | de | 107 | ﯔ Still short |
| The Small Big | en | 109 | ﯔ Still short |
| The Small Big | de | 109 | ﯔ Still short |
| The Power of Moments | en | 111 | ﯔ Still short |
| The Power of Moments | de | 111 | ﯔ Still short |
| The Buddha and the Badass | en | 113 | ﯔ Still short |
| The Buddha and the Badass | de | 113 | ﯔ Still short |
| Grit | en | 105 | ﯔ Still short |
| Grit | de | 105 | ﯔ Still short |
| Redirect | en | 105 | ﯔ Still short |
| Redirect | de | 105 | ﯔ Still short |
| The Monk Who Sold His Ferrari | en | 115 | ﯔ Still short |
| The Monk Who Sold His Ferrari | de | 115 | ﯔ Still short |
| Perennial Seller | en | 107 | ﯔ Still short |
| Perennial Seller | de | 107 | ﯔ Still short |
| Company of One | en | 109 | ﯔ Still short |
| Company of One | de | 109 | ﯔ Still short |
| Powerful | en | 105 | ﯔ Still short |
| Powerful | de | 105 | ﯔ Still short |
