"Title","TotalWords","SummaryWords","InsightsCount","ChapterWords"
"The Giver of Stars","1018","318","14","0"
"After You","619","219","8","0"
"Still Me","992","342","13","0"
"Me Before You","941","341","12","0"
"The Rosie Result","939","289","13","0"
"The Rosie Effect","943","293","13","0"
"The Rosie Project","685","285","8","0"
"Eleanor Oliphant Is Completely Fine","914","314","12","0"
"Where the Crawdads Sing","970","320","13","0"
"The Four Winds","763","363","8","0"
"The Great Alone","976","326","13","0"
"The Nightingale","889","289","12","0"
"All the Light We Cannot See","956","356","12","0"
"The Book Thief","1034","334","14","0"
"And the Mountains Echoed","924","324","12","0"
"A Thousand Splendid Suns","974","324","13","0"
"The Kite Runner","979","329","13","0"
"Room","971","321","13","0"
"The Curious Incident of the Dog in the Night-Time","1022","372","13","0"
"The Art of Racing in the Rain","933","283","13","0"
"Britt-Marie Was Here","876","276","12","0"
"Us Against You","901","301","12","0"
"Beartown","629","229","8","0"
"My Grandmother Asked Me to Tell You She's Sorry","927","227","14","0"
"A Man Called Ove","1006","306","14","0"
"Teacher Man","730","330","8","0"
"'Tis","662","262","8","0"
"Angela's Ashes","955","355","12","0"
"The Glass Castle","1018","368","13","0"
"I Know Why the Caged Bird Sings","944","294","13","0"
"The Autobiography of Malcolm X","957","357","12","0"
"Just Mercy","840","390","9","0"
"The New Jim Crow","1028","328","14","0"
"Between the World and Me","715","315","8","0"
"So You Want to Talk About Race","899","299","12","0"
"White Fragility","983","333","13","0"
"How to Be an Antiracist","742","342","8","0"
"Stamped from the Beginning","756","356","8","0"
"The Color of Law","990","340","13","0"
"Caste","700","300","8","0"
"The Warmth of Other Suns","681","281","8","0"
"The Sixth Extinction","991","341","13","0"
"The Story of the Human Body","712","312","8","0"
"One Summer","923","323","12","0"
"At Home","516","216","6","0"
"A Short History of Nearly Everything","643","193","9","0"
"The Third Chimpanzee","747","347","8","0"
"Collapse","698","298","8","0"
"Guns, Germs, and Steel","789","189","12","0"
"The Little Book of Lykke","954","354","12","0"
"The Little Book of Hygge","954","304","13","0"
"How to Walk","980","330","13","0"
"How to Sit","995","295","14","0"
"How to Relax","1038","338","14","0"
