"Id","Title","TotalWords","SummaryWords","Insights","Chapters"
"6c8e5031-1c55-4bdd-8c11-ae5338f374c7","The Giver of Stars","2145","318","14","11"
"616d75f1-5e5a-446c-a355-969a55fd5eaf","After You","1715","219","8","6"
"cbadb69c-3003-44c9-8144-21632f06a9ce","Still Me","83","83","0","0"
"a75a2a64-677b-48e6-be32-f425795cb2b0","Me Before You","75","75","0","0"
"c9bfb0e6-0adf-4c0b-8cea-0946b7b3c620","The Rosie Result","71","71","0","0"
"fa29ee66-91cc-4050-8e52-e56fd148c7af","The Rosie Effect","71","71","0","0"
"34cea33b-8daf-46ed-b71d-282ca518f1a2","The Rosie Project","73","73","0","0"
"779ce111-7597-468f-96df-b1ad73eeee1e","Eleanor Oliphant Is Completely Fine","75","75","0","0"
"a87e52db-72c6-4f70-95a7-f825b8369681","Where the Crawdads Sing","82","82","0","0"
"53037ee0-7f31-4820-a3f5-850c91b902b6","The Four Winds","78","78","0","0"
"c512cb07-67c6-4473-8964-4b92170e2aa4","The Great Alone","77","77","0","0"
"dad97269-97d7-44db-b34f-bb6884daee93","The Nightingale","75","75","0","0"
"b46b0b2c-0a6b-4cfd-8ae1-74468177f5e5","All the Light We Cannot See","83","83","0","0"
"03258865-4d25-43a8-b802-a9d4d1699523","The Book Thief","78","78","0","0"
"5c815617-67a0-40d8-a685-a7b01174df8e","And the Mountains Echoed","75","75","0","0"
"4c18b4f5-59e4-4aa8-92ea-0577429b2aa2","A Thousand Splendid Suns","79","79","0","0"
"57d293e2-7dba-42ab-970b-3e62316548ac","The Kite Runner","74","74","0","0"
"765a387a-5351-46a6-a3fe-3d7e7d90fd5a","Room","80","80","0","0"
"a0901953-758b-4873-9054-855b7fd9f601","The Curious Incident of the Dog in the Night-Time","83","83","0","0"
"52b4ce74-4a94-40f4-9084-0bddf3bb562e","The Art of Racing in the Rain","83","83","0","0"
"65cc8c67-61a3-4877-81b8-2ff2ba822c62","Britt-Marie Was Here","78","78","0","0"
"55b85f40-c678-44e5-9659-79b43ca4d5f8","Us Against You","75","75","0","0"
"99319a9a-d658-4b3e-a9e5-bf3d8246d85a","Beartown","76","76","0","0"
"bbd0f66c-1caf-48b5-865d-5d884a93ab80","My Grandmother Asked Me to Tell You She's Sorry","82","82","0","0"
"80868b82-a53d-43b2-8597-769676ce37ad","A Man Called Ove","78","78","0","0"
"2e958ad7-6b4e-41f6-b311-5a20b42eee25","Teacher Man","80","80","0","0"
"430cf192-0b14-4c01-aebb-074971f7210a","'Tis","73","73","0","0"
"65598505-6f29-4019-8a24-aab90ecc4616","Angela's Ashes","79","79","0","0"
"d77e67e2-577b-4f0e-8207-54ac2bf3129f","The Glass Castle","74","74","0","0"
"c57ab944-8d74-45c2-8641-c39fd0451c98","I Know Why the Caged Bird Sings","75","75","0","0"
"080ffd1b-f0a7-4c32-8659-f97e349ae5d4","The Autobiography of Malcolm X","78","78","0","0"
"d2a7a299-8203-41d6-8a75-faf198df58c5","Just Mercy","73","73","0","0"
"148dad7f-6b75-42c9-900c-cebee8bad6cf","The New Jim Crow","75","75","0","0"
"360155d5-9cc4-413a-b23a-d91e8b7c7151","Between the World and Me","78","78","0","0"
"8bad2935-5bb3-4054-98ed-1a6ea2051e3c","So You Want to Talk About Race","71","71","0","0"
"56bacf57-2dc9-4680-8c4f-f6ce24141f15","White Fragility","69","69","0","0"
"82e0c4cf-2818-4d03-80d6-2aaea6e81032","How to Be an Antiracist","75","75","0","0"
"215feb79-3474-4721-9b46-fbb69d2cad3a","Stamped from the Beginning","76","76","0","0"
"b1bea620-0225-467d-b1f2-4123534fdf25","The Color of Law","75","75","0","0"
"25d6c1d9-72fb-4967-bfd5-f4bf3f50e33e","Caste","71","71","0","0"
"534e9c1c-d0b4-478d-aab8-a1cd1ba5e71b","The Warmth of Other Suns","75","75","0","0"
"e84ec8cb-dafa-4fcf-8f39-71388868cedd","The Sixth Extinction","77","77","0","0"
"671e113e-1dfa-41ad-bccc-047d7ceaa593","The Story of the Human Body","77","77","0","0"
"bf5cf847-1283-40be-ad78-f0d2d8814cfb","One Summer","75","75","0","0"
"23fefd1f-cee3-4e87-a5d0-c05209a29ea4","At Home","75","75","0","0"
"3165d8be-7071-4333-8289-b8fdc99be523","A Short History of Nearly Everything","76","76","0","0"
"361edfc3-88cd-418c-ac45-f83fbbcf52d8","The Third Chimpanzee","71","71","0","0"
"2771bc2b-706b-4123-9d68-5b0adbb81e88","Collapse","73","73","0","0"
"fa084ed0-393d-4d9e-bc85-5a0d252f0e4b","Guns, Germs, and Steel","72","72","0","0"
"71130cbb-12c6-4f3d-b4ef-7754630df494","The Little Book of Lykke","73","73","0","0"
"58a328fd-20b8-491b-ac33-67b16b9c10e3","The Little Book of Hygge","70","70","0","0"
"f827b70a-2fce-4154-8f43-cb488ae56fe7","How to Walk","83","83","0","0"
"8a802339-687d-44ed-9502-12d69e344abc","How to Sit","70","70","0","0"
"d290a71e-e0ac-4c03-abf9-72cf41fb75eb","How to Relax","84","84","0","0"
"e6651796-6b67-4a8b-8d78-045a2712e425","How to Love","74","74","0","0"
"1ccf4df0-0656-42b7-a775-9450a5135f38","You Are Here","75","75","0","0"
"361d6583-f6fe-4707-905b-006b8bb08ebe","The Art of Living","78","78","0","0"
"16c13f25-c79e-48b0-bbc0-0a80042db2ef","No Mud, No Lotus","82","82","0","0"
"4691ed53-7181-4c43-b3be-05f7a56a8c07","The Heart of the Buddha's Teaching","77","77","0","0"
"45c00c7b-8e42-45fc-8e06-fc264a9ef190","Being Peace","82","82","0","0"
"a358fc65-1c28-44b0-b4d6-a9c225fc5d3b","The Miracle of Mindfulness","78","78","0","0"
"8cd0a92c-9ad3-43ed-aa1e-2244697e6d6f","Peace Is Every Step","75","75","0","0"
