"id","title","language","isPremium","summaryWords","insightsWords","chaptersWords","actionItemsWords","quotesWords","totalWords"
"6c8e5031-1c55-4bdd-8c11-ae5338f374c7","The Giver of Stars","en","1","318","733","1268","88","59","2466"
"616d75f1-5e5a-446c-a355-969a55fd5eaf","After You","en","0","127","323","359","61","75","945"
"cbadb69c-3003-44c9-8144-21632f06a9ce","Still Me","en","0","342","572","1115","74","64","2167"
"a75a2a64-677b-48e6-be32-f425795cb2b0","Me Before You","en","0","341","756","940","66","49","2152"
"c9bfb0e6-0adf-4c0b-8cea-0946b7b3c620","The Rosie Result","en","1","289","773","850","66","46","2024"
"fa29ee66-91cc-4050-8e52-e56fd148c7af","The Rosie Effect","en","1","293","754","833","75","36","1991"
"34cea33b-8daf-46ed-b71d-282ca518f1a2","The Rosie Project","en","0","190","327","392","62","42","1013"
"779ce111-7597-468f-96df-b1ad73eeee1e","Eleanor Oliphant Is Completely Fine","en","0","314","561","938","90","59","1962"
"a87e52db-72c6-4f70-95a7-f825b8369681","Where the Crawdads Sing","en","0","320","727","1005","53","65","2170"
"53037ee0-7f31-4820-a3f5-850c91b902b6","The Four Winds","en","0","189","384","434","89","42","1138"
"c512cb07-67c6-4473-8964-4b92170e2aa4","The Great Alone","en","0","326","686","1279","118","91","2500"
"dad97269-97d7-44db-b34f-bb6884daee93","The Nightingale","en","0","289","612","868","75","53","1897"
"b46b0b2c-0a6b-4cfd-8ae1-74468177f5e5","All the Light We Cannot See","en","0","356","758","1022","120","81","2337"
"03258865-4d25-43a8-b802-a9d4d1699523","The Book Thief","en","0","334","911","1382","95","110","2832"
"5c815617-67a0-40d8-a685-a7b01174df8e","And the Mountains Echoed","en","1","324","701","1142","69","62","2298"
"4c18b4f5-59e4-4aa8-92ea-0577429b2aa2","A Thousand Splendid Suns","en","0","324","778","972","77","51","2202"
"57d293e2-7dba-42ab-970b-3e62316548ac","The Kite Runner","en","0","329","695","1024","98","92","2238"
"765a387a-5351-46a6-a3fe-3d7e7d90fd5a","Room","en","0","321","897","943","94","62","2317"
"a0901953-758b-4873-9054-855b7fd9f601","The Curious Incident of the Dog in the Night-Time","en","1","372","760","948","55","57","2192"
"52b4ce74-4a94-40f4-9084-0bddf3bb562e","The Art of Racing in the Rain","en","0","283","649","1073","80","39","2124"
"65cc8c67-61a3-4877-81b8-2ff2ba822c62","Britt-Marie Was Here","en","1","276","569","798","64","71","1778"
"55b85f40-c678-44e5-9659-79b43ca4d5f8","Us Against You","en","1","301","809","880","63","77","2130"
"99319a9a-d658-4b3e-a9e5-bf3d8246d85a","Beartown","en","0","193","341","405","45","44","1028"
