"id","title","totalWords","summaryWords","insightsWords","chaptersWords","actionItemsWords","quotesWords"
"22474d34-6d8c-431e-abb6-99dfea441b1e","The Greatness Guide","661","130","255","215","24","37"
"1cdcab8a-217c-4fb0-b939-89a190671f14","Shoe Dog","666","113","220","238","50","45"
"3e378e3d-2ef5-4226-ab0a-ed9d74921728","Quiet","667","112","243","209","45","58"
"3bf3ab05-2c4c-4deb-99f6-a6d66ce2fc04","The Essays of Warren Buffett","673","122","238","203","61","49"
"4103d31a-da99-4131-a60e-cbbdfa856f98","The Five Dysfunctions of a Team","692","131","261","226","46","28"
"2273e973-2fc7-4c38-bddc-6f7754cf6600","Only the Paranoid Survive","705","123","253","253","42","34"
"39757c73-4141-478a-aad9-67cfb0fb5f3c","The Surrender Experiment","718","121","238","253","51","55"
"1d374d6a-ac30-470d-9a45-b1ae0e451637","Perennial Seller","719","127","267","226","60","39"
"7e847c67-ebf1-4513-8cad-4202ef768692","The Goal","738","114","260","239","69","56"
"1d99ccc9-72d3-4fa1-8400-ed898b5cfd6c","High Performance Habits","741","117","292","242","49","41"
"646c74f3-9761-4b74-a977-c3184bdfcd28","Money Master the Game","759","135","284","235","45","60"
"534e9c1c-d0b4-478d-aab8-a1cd1ba5e71b","The Warmth of Other Suns","759","139","265","256","39","60"
"7e93e919-b974-41ae-a7d1-7f9dd91b8769","Black Box Thinking","762","126","237","300","56","43"
"2f05f52c-274a-4892-bb69-a2fedf00d528","101 Essays That Will Change The Way You Think","763","142","234","279","61","47"
"232c310e-e16b-4caf-9136-31c5640e12c7","Life 3.0","763","132","218","293","56","64"
"31cba18f-ba14-4713-8e57-2d4d5c3b106b","The Advantage","775","157","258","270","43","47"
"3b2143ac-0116-4c5e-b08e-f37c8b97f37c","Who Moved My Cheese?","776","200","237","266","24","49"
"8e97389c-b412-4676-8289-ee3fe7d08b8e","Eat to Live","777","133","257","235","75","77"
"36f4b0fd-253a-4417-aac6-5b3ad2fc7aee","The Body Keeps the Score","780","137","233","315","48","47"
"215feb79-3474-4721-9b46-fbb69d2cad3a","Stamped from the Beginning","782","165","211","291","55","60"
"351d8db4-89a3-47fc-b23c-dfbdb8a27c8d","Start Small, Stay Small","783","214","266","198","61","44"
"616d75f1-5e5a-446c-a355-969a55fd5eaf","After You","785","126","262","278","50","69"
"432c0201-22ed-4bcc-bd07-869e6268eb69","When","787","153","259","273","53","49"
"33782766-4bbc-46a8-ad0c-86fb8e021042","Essentialism","795","129","339","210","60","57"
"63c1b380-ea63-4173-9fec-b99b8dbaa02a","The Millionaire Next Door","796","119","278","305","56","38"
"430cf192-0b14-4c01-aebb-074971f7210a","'Tis","803","162","292","262","51","36"
"2403d0f2-dc15-47fe-8424-8a6ad8ba42e5","168 Hours","804","149","271","292","54","38"
"2e02c869-8c1c-4a32-82f2-04451235aa90","The Warren Buffett Way","805","126","303","259","63","54"
"29f6ee58-9b5c-4b04-9bd8-0d2fd86ec68a","Brain Rules","807","176","237","294","53","47"
"322794d9-a394-4e14-a045-27a63eca768f","Loving Kindness","811","116","229","349","64","53"
"1d9c9e4f-e392-4ef2-b0bc-580a6e52efbf","The Voice of Knowledge","813","125","308","264","71","45"
"3680cae0-a408-4708-8863-b0dc87d43da4","Full Catastrophe Living","820","165","269","295","33","58"
